,id,frame,x [nm],y [nm],knn,status,knn_set_group,knn_frames,barcodes,gene
39,31.0,3.0,142.5520295753146,51.55185325685426,"[1, 30, 155, 163]",unconfirmed,3.0,"[0.0, 3.0, 14.0, 15.0]",1001000000000011,
40,30.0,3.0,149.55633940907472,36.568431829299,"[11, 21, 29, 53]",confirmed,4.0,"[1.0, 2.0, 3.0, 4.0]",0111100000000000,Fgb
41,49.0,3.0,151.46723561276733,227.5714022630336,"[26, 48, 88, 177]",confirmed,4.0,"[2.0, 3.0, 6.0, 15.0]",0011001000000001,Timp3
42,48.0,3.0,173.45386735264444,212.4974188681459,"[17, 47, 74]",corrected,3.0,"[1.0, 3.0, 5.0]",0101010000000001,Pzp
43,46.0,3.0,174.55046986849172,194.53630619511452,"[15, 45, 73, 175]",confirmed,4.0,"[1.0, 3.0, 5.0, 15.0]",0101010000000001,Pzp
44,36.0,3.0,176.4423944529885,124.51941700680368,"[22, 35, 82, 168]",confirmed,4.0,"[2.0, 3.0, 6.0, 15.0]",0011001000000001,Timp3
45,51.0,3.0,180.48132399062615,242.49758705582107,"[8, 50, 63, 179]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
46,38.0,3.0,188.44453448048327,144.46024561261925,"[37, 57, 70, 83]",confirmed,4.0,"[3.0, 4.0, 5.0, 6.0]",0001111000000000,Proz
47,39.0,3.0,205.54498385482864,147.4949952052519,"[13, 38, 151, 171]",unconfirmed,3.0,"[1.0, 3.0, 13.0, 15.0]",0101000000000101,
48,32.0,3.0,220.4832858534063,64.50765610583335,"[12, 31, 66, 164]",confirmed,4.0,"[1.0, 3.0, 5.0, 15.0]",0101010000000001,Pzp
49,43.0,3.0,230.44040599701282,178.46447514310285,"[6, 42, 60, 173]",confirmed,4.0,"[0.0, 3.0, 4.0, 15.0]",1001100000000001,Gdc1
50,29.0,3.0,240.45944795931976,17.473269158025182,"[20, 28, 52, 154]",unconfirmed,3.0,"[2.0, 3.0, 4.0, 14.0]",0011100000000010,
51,56.0,4.0,36.509947816448296,115.53759048960377,"[34, 55, 69, 81]",confirmed,4.0,"[3.0, 4.0, 5.0, 6.0]",0001111000000000,Proz
