"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty [nm]"
1.0,1.0,8.387352387918584,67.50303683590188,0.9807761277854008,871.9599020855286,358.82534357842684,6.814351619898518,0.05117643084358231
2.0,1.0,51.48829014802759,142.54086966137254,4.843000467226472,40242.42215808622,147.94320956670066,23.235460272779267,0.07207063042374832
3.0,1.0,66.49481074517287,48.46216381960949,4.979438564073043,40143.97591836657,156.77237723086617,22.47256103743937,0.07390354257143547
4.0,1.0,91.56682558518435,66.50349349584205,0.981031701412822,946.7987367673323,359.20564163259894,5.015439364605578,0.04192566202503182
5.0,1.0,125.53067518699284,116.38404636405687,1.0163854497614715,916.8455756387158,358.0564102956082,8.645443427686168,0.06002036682930773
6.0,1.0,160.5199029588827,141.505387700167,5.174525452928341,44654.354939688565,147.245982425879,20.927706579008504,0.06752140216086142
7.0,1.0,178.6149014949968,230.50959179562722,1.006456483970691,989.658057418822,358.3365326533057,9.549137730364032,0.05923398618530959
8.0,1.0,234.52404540647268,42.50144204626692,4.804306759273167,34265.93202735476,177.03867248697875,19.512429582242135,0.07083595631588233
9.0,1.0,242.54208998986164,180.52028307693007,5.603444170281149,56927.96581555153,121.10657027236039,19.469407208725894,0.058746222874192455
10.0,2.0,3.625319577958205,20.404790184040603,0.7288172562135506,749.6992590491534,362.55173098779414,8.647124910010408,0.04198864426043781
11.0,2.0,5.42534407400455,114.57399608473509,0.9286577053638727,899.7639424860566,359.26013432705554,3.856477448761664,0.03734281265248372
12.0,2.0,36.54646571481425,149.42336578587688,1.0463730907737567,944.8105658052149,358.1480208714149,4.745388258471432,0.04480067672354315
13.0,2.0,64.62604572608332,220.5574825585746,0.877101442320909,788.1298824560595,359.8670580913154,4.5048639387407095,0.039595702471094
14.0,2.0,147.5640265842765,205.49103861291778,0.8893503166032998,800.873073513738,360.18733700569305,5.377324013239621,0.04243201502941515
15.0,2.0,190.44400414108833,113.43205182926481,0.872267800975411,766.1742700336314,361.0368822311639,7.7547924294563595,0.05091455556637823
16.0,2.0,194.43408201231694,174.5839811721473,0.9276212332387223,857.8668739759598,359.553338325097,5.226335368284719,0.04231865206261786
17.0,2.0,199.52910738862545,65.48372938697241,0.9442913171849405,991.3389176781046,359.04953747334935,5.538496629386527,0.04009086602296746
18.0,2.0,212.42467617798238,173.48831375716188,4.871419995250941,35928.43648609495,172.00219014758952,22.524376951257562,0.07890240374730075
19.0,3.0,3.4304064331440856,20.526870436641804,1.012496732658236,870.6915553251588,358.55419891402465,5.361721576535308,0.04769387990942296
20.0,3.0,5.345721582243928,114.57641776496821,0.8991032049051699,887.9986311818463,359.95346428555285,4.83158163550483,0.038605826240713896
21.0,3.0,17.474373180369298,240.59412934324658,5.021197812063287,38473.737376032375,168.07117166092624,19.126532213770584,0.06786609120893188
22.0,3.0,36.48643341450812,149.46510286154034,4.924671821824633,39466.02352302242,156.954233609481,23.687305247236623,0.07708304849492936
23.0,3.0,124.71386793599386,176.4507878113696,0.9404814660230514,936.8691738211014,358.9613786147099,5.308237515723145,0.04079559532118929
24.0,3.0,149.491553515359,76.49264396279342,0.8445446765570284,896.0032400689516,360.0982094617251,5.108392931682736,0.036119954872980246
25.0,3.0,190.51685077220242,113.46367560916063,4.847894516233067,37643.026703729956,161.83639271286867,21.297715505510258,0.07120606182437393
26.0,3.0,194.49552842757166,7.461207677520363,4.856795469596672,36574.62207624792,167.55918088476292,21.754843575430424,0.07479827793629891
27.0,3.0,227.46038073070477,151.45786097092991,4.739006173737411,33089.805730062624,179.5160304722872,21.71622482960923,0.07836406910667632
28.0,4.0,3.445828259295371,20.384832959887824,0.9235646805741766,891.7101095389104,359.2782761625969,5.503282680212965,0.0417909720977461
29.0,4.0,17.473269158025182,240.45944795931976,4.846841451613724,34720.42737206506,176.9274624508544,21.50783292442449,0.07746798116439578
30.0,4.0,36.568431829299,149.55633940907472,0.8500695753786178,894.282625845922,360.20725670218604,4.720901349384972,0.03559430851949678
31.0,4.0,51.551853256854265,142.55202957531458,4.7276582579655875,33823.178862351444,174.83396538777973,24.71655123407941,0.08583616698388921
32.0,4.0,64.50765610583335,220.48328585340627,4.974391053458443,43893.730435879756,137.53331718360107,22.351633322078495,0.0674981922223886
33.0,4.0,98.51314005795315,128.47750304355776,0.8239429437524421,886.3160793324624,360.0752826425011,5.37382912451138,0.03585797413863183
34.0,4.0,101.5170592124477,31.513912822324443,0.9570331896896995,869.1156734016793,359.9798327215123,5.703172292428988,0.045360790595048446
35.0,4.0,115.4960719802772,36.51001100346671,5.052796182884323,49637.32072957615,114.78380252930961,25.60113167498209,0.06981288006902373
36.0,4.0,124.51941700680369,176.4423944529885,4.888481573731589,39926.416644278535,152.40407728180452,23.42273493590581,0.07443253987790871
37.0,4.0,125.52375904904933,116.51575323774718,4.82891894116985,37004.237127793116,164.00564536240864,20.993891909963814,0.07093017696599971
38.0,4.0,144.46024561261925,188.44453448048327,4.800929212803381,35960.39332004883,167.37124920280695,22.79726333216221,0.07752003886729672
39.0,4.0,147.4949952052519,205.54498385482864,4.908742733427646,40142.84342054673,152.4769111194819,22.469347733701316,0.07193128182647998
40.0,4.0,149.54155968537498,76.50936686275706,4.951628328462538,40351.75211111385,154.06517786642675,22.526356398578304,0.07292639054547481
41.0,4.0,157.50141689692245,86.56618766970055,1.0273499556872512,800.8755280840886,358.43635602842056,4.116102189194386,0.04649140042591088
42.0,4.0,160.52195644452544,141.54586482872375,0.9237908720798638,890.3663680660196,359.83006111901847,6.376580165669607,0.04461909571720051
43.0,4.0,178.46447514310285,230.44040599701282,5.234270775587014,49934.85582793528,126.50390264160791,20.30518379238108,0.06057832897772894
44.0,4.0,190.47092381284085,113.4520201719119,5.464059170015473,56821.05854532314,112.74381726609616,18.209023439084447,0.05317503154145973
